"Id","ensembl_gene_id","module","gene_symbol","organ","MM.pval","deseq2_sum.pval","geneID","is.hub","Label","hub_rank","log.MM","random_ranks"
"56","ENSMUSG00000029312","darkgreen","Klhl8","muscle",3.65838447000597e-14,1.9091795243578262e-6,"Klhl8",TRUE,"Klhl8",2,13.436710655221576,189
"71","ENSMUSG00000030403","darkgreen","Vasp","muscle",2.4322742583227213e-13,3.1261242828239604e-8,"Vasp",TRUE,"Vasp",2,12.61398745647139,190
"171","ENSMUSG00000024247","darkgreen","Pkdcc","muscle",2.389363312119121e-12,4.835972366690085e-9,"Pkdcc",TRUE,"Pkdcc",2,11.621717809039549,192
"121","ENSMUSG00000000317","darkgreen","Bcl6b","muscle",3.226450545261392e-12,1.507593209947676e-9,"Bcl6b",TRUE,"Bcl6b",2,11.491274987331902,183
"23","ENSMUSG00000068735","darkgreen","Trp53i11","muscle",6.186492397995209e-12,1.4134637387750505e-8,"Trp53i11",TRUE,"Trp53i11",2,11.208555516401747,185
"38","ENSMUSG00000050947","darkgreen","Amigo1","muscle",9.684698044803745e-12,2.0472658382167234e-8,"Amigo1",TRUE,"Amigo1",2,11.01391391542188,180
"152","ENSMUSG00000010830","darkgreen","Kdelr3","muscle",1.3412457627551705e-11,8.41828581581798e-5,"Kdelr3",TRUE,"Kdelr3",2,10.87249163704087,181
"107","ENSMUSG00000032220","darkgreen","Myo1e","muscle",1.5386912435820914e-11,1.945125773255243e-7,"Myo1e",TRUE,"Myo1e",2,10.812848517700123,195
"131","ENSMUSG00000020744","darkgreen","Slc25a19","muscle",2.3016548117011796e-11,0.02138287121701017,"Slc25a19",TRUE,"Slc25a19",2,10.63795980868815,196
"182","ENSMUSG00000054008","darkgreen","Ndst1","muscle",2.793742990859907e-11,4.743560563023444e-6,"Ndst1",TRUE,"Ndst1",2,10.553813549111347,197
"153","ENSMUSG00000000489","darkgreen","Pdgfb","muscle",3.994691153207769e-11,0.007450455234674632,"Pdgfb",TRUE,"Pdgfb",2,10.398516792230488,186
"48","ENSMUSG00000039936","darkgreen","Pik3cd","muscle",4.3352356897271116e-11,2.112957809439664e-4,"Pik3cd",TRUE,"Pik3cd",2,10.362987286661715,194
"62","ENSMUSG00000032766","darkgreen","Gng11","muscle",4.7004996310046804e-11,6.676850148673639e-8,"Gng11",TRUE,"Gng11",2,10.327855977073687,179
"67","ENSMUSG00000030123","darkgreen","Plxnd1","muscle",9.239703772997892e-11,0.019237176278318686,"Plxnd1",TRUE,"Plxnd1",2,10.034341952136458,191
"70","ENSMUSG00000030256","darkgreen","Bhlhe41","muscle",1.1369160549509143e-10,1.744236603061018e-5,"Bhlhe41",TRUE,"Bhlhe41",2,9.944271600587092,198
"181","ENSMUSG00000024535","darkgreen","Snx24","muscle",3.193024624637514e-10,0.0010447614007628205,"Snx24",TRUE,"Snx24",2,9.495797732164297,182
"102","ENSMUSG00000032193","darkgreen","Ldlr","muscle",3.336621863612354e-10,9.146587174281277e-4,"Ldlr",TRUE,"Ldlr",2,9.476693008763789,184
"104","ENSMUSG00000032014","darkgreen","Oaf","muscle",3.408098049047415e-10,7.069094296190196e-5,"Oaf",TRUE,"Oaf",2,9.467487919319742,188
"45","ENSMUSG00000028680","darkgreen","Plk3","muscle",3.9227957381436034e-10,0.003090312643819456,"Plk3",TRUE,"Plk3",2,9.40640430520379,187
"79","ENSMUSG00000059824","darkgreen","Dbp","muscle",4.761364109894653e-10,0.0017508210172833157,"Dbp",TRUE,"Dbp",2,9.322268605992067,193
"19","ENSMUSG00000039515","darkgreen","Ptpa","muscle",5.724008906181062e-10,6.317623435257021e-4,"Ptpa",FALSE,"",1,9.24229969917811,11
"193","ENSMUSG00000037010","darkgreen","Apln","muscle",2.0505047063665806e-9,0.034968516242968845,"Apln",FALSE,"",1,8.688139229572453,142
"189","ENSMUSG00000074818","darkgreen","Pdzd7","muscle",4.674148071344226e-9,4.384435293167851e-4,"Pdzd7",FALSE,"",1,8.330297533803197,82
"142","ENSMUSG00000038518","darkgreen","Jarid2","muscle",5.704225450781661e-9,0.0024014362249836856,"Jarid2",FALSE,"",1,8.243803317992187,19
"136","ENSMUSG00000020658","darkgreen","Efr3b","muscle",6.233004767001687e-9,2.9304200209420566e-6,"Efr3b",FALSE,"",1,8.20530254095948,101
"195","ENSMUSG00000034403","darkgreen","Pja1","muscle",7.438252565169272e-9,1.7012714698497814e-5,"Pja1",FALSE,"",1,8.128529079298222,47
"37","ENSMUSG00000027889","darkgreen","Ampd2","muscle",1.184998626482969e-8,9.247965346474142e-6,"Ampd2",FALSE,"",1,7.926282153038867,175
"178","ENSMUSG00000024440","darkgreen","Pcdh12","muscle",1.366201455967199e-8,0.10852709637064202,"Pcdh12",FALSE,"",1,7.864485256171332,83
"128","ENSMUSG00000020889","darkgreen","Nr1d1","muscle",1.983804485772206e-8,1.7473754981598328e-10,"Nr1d1",FALSE,"",1,7.7025011320479315,125
"59","ENSMUSG00000034118","darkgreen","Tpst1","muscle",2.8297398409358956e-8,0.0325796819808163,"Tpst1",FALSE,"",1,7.5482534905674425,23
"28","ENSMUSG00000039621","darkgreen","Prex1","muscle",3.32225916555947e-8,0.01078974141800575,"Prex1",FALSE,"",1,7.4785664917575465,56
"157","ENSMUSG00000081534","darkgreen","Slc48a1","muscle",3.742888170979975e-8,0.03142217531101649,"Slc48a1",FALSE,"",1,7.4267931484270795,157
"68","ENSMUSG00000090698","darkgreen","Apold1","muscle",3.752096822312059e-8,3.417371786906314e-4,"Apold1",FALSE,"",1,7.425725963242518,51
"86","ENSMUSG00000030878","darkgreen","Cdr2","muscle",3.880508818502567e-8,1.4024104908807046e-4,"Cdr2",FALSE,"",1,7.411111325287265,31
"80","ENSMUSG00000052512","darkgreen","Nav2","muscle",4.01575386799949e-8,0.04059649377487961,"Nav2",FALSE,"",1,7.396232913653232,84
"120","ENSMUSG00000044367","darkgreen","Slc16a13","muscle",4.882010492765676e-8,8.94100284309411e-5,"Slc16a13",FALSE,"",1,7.311401291501105,165
"84","ENSMUSG00000090958","darkgreen","Lrrc32","muscle",6.42668580818498e-8,6.110111016279427e-4,"Lrrc32",FALSE,"",1,7.1920129316295,116
"12","ENSMUSG00000030768","darkgreen","Disp1","muscle",7.096310082476042e-8,0.23537055668026044,"Disp1",FALSE,"",1,7.14896741570085,85
"65","ENSMUSG00000030084","darkgreen","Plxna1","muscle",8.15151888206623e-8,0.011240853969821923,"Plxna1",FALSE,"",1,7.0887614611201135,39
"179","ENSMUSG00000024427","darkgreen","Spry4","muscle",1.1975995046829668e-7,0.030200606906225697,"Spry4",FALSE,"",1,6.921688392285494,75
"130","ENSMUSG00000020743","darkgreen","Mif4gd","muscle",1.336689930069465e-7,0.009444479367754043,"Mif4gd",FALSE,"",1,6.873969323685853,50
"117","ENSMUSG00000003348","darkgreen","Mob3a","muscle",1.531558997999268e-7,0.00924175232682472,"Mob3a",FALSE,"",1,6.814866268846302,150
"105","ENSMUSG00000032086","darkgreen","Bace1","muscle",2.1730047402234057e-7,1.6990240062286696e-8,"Bace1",FALSE,"",1,6.662939326302291,54
"146","ENSMUSG00000022074","darkgreen","Tnfrsf10b","muscle",2.5439549785858343e-7,4.013490663921955e-5,"Tnfrsf10b",FALSE,"",1,6.594490578843102,1
"16","ENSMUSG00000026921","darkgreen","Egfl7","muscle",2.655563820793577e-7,0.21745009474174246,"Egfl7",FALSE,"",1,6.5758432567809315,132
"198","ENSMUSG00000025265","darkgreen","Fgd1","muscle",2.7850929791378435e-7,0.0026527607052630356,"Fgd1",FALSE,"",1,6.555160301512712,86
"34","ENSMUSG00000038550","darkgreen","Ciart","muscle",2.7996636193700417e-7,9.127127550698508e-6,"Ciart",FALSE,"",1,6.552894146167544,9
"42","ENSMUSG00000028214","darkgreen","Gem","muscle",3.089827908952208e-7,0.040220060854396354,"Gem",FALSE,"",1,6.51006570836601,173
"112","ENSMUSG00000038214","darkgreen","Bend3","muscle",3.629214278620369e-7,2.5845370929753684e-4,"Bend3",FALSE,"",1,6.440187389122369,70
"124","ENSMUSG00000061981","darkgreen","Flot2","muscle",5.008760620219059e-7,0.20521181715421555,"Flot2",FALSE,"",1,6.300269723711199,4
"192","ENSMUSG00000009406","darkgreen","Elk1","muscle",5.362238303525596e-7,0.001321504153382323,"Elk1",FALSE,"",1,6.270653889419447,119
"15","ENSMUSG00000078202","darkgreen","Nrarp","muscle",5.63034763989531e-7,0.3645519307752141,"Nrarp",FALSE,"",1,6.249464789264615,167
"52","ENSMUSG00000005103","darkgreen","Wdr1","muscle",5.731028593781936e-7,1.3992943212072738e-7,"Wdr1",FALSE,"",1,6.241767424714344,87
"129","ENSMUSG00000052915","darkgreen","Msl1","muscle",6.652425278912309e-7,0.0011269143176670798,"Msl1",FALSE,"",1,6.177019994813148,128
"82","ENSMUSG00000048897","darkgreen","Zfp710","muscle",6.946890060965709e-7,0.08529514960183822,"Zfp710",FALSE,"",1,6.1582095740627025,88
"125","ENSMUSG00000017615","darkgreen","Tnfaip1","muscle",9.144221378340216e-7,8.637673712026166e-6,"Tnfaip1",FALSE,"",1,6.038853268370894,66
"126","ENSMUSG00000001105","darkgreen","Ift20","muscle",9.921941845341547e-7,0.11361169997795696,"Ift20",FALSE,"",1,6.00340332278676,129
"7","ENSMUSG00000026162","darkgreen","Nhej1","muscle",1.1855144896863828e-6,0.2773598332076386,"Nhej1",FALSE,"",1,5.926093133585932,149
"180","ENSMUSG00000042705","darkgreen","Commd10","muscle",1.3342780531245852e-6,2.0381965822016448e-4,"Commd10",FALSE,"",1,5.874753657410168,20
"99","ENSMUSG00000025812","darkgreen","Pard3","muscle",1.4978781958626762e-6,9.326024487708944e-10,"Pard3",FALSE,"",1,5.824523501066101,147
"119","ENSMUSG00000051790","darkgreen","Nlgn2","muscle",2.01955610269502e-6,0.12353938467212373,"Nlgn2",FALSE,"",1,5.694744077749038,105
"132","ENSMUSG00000062825","darkgreen","Actg1","muscle",2.0384799249529875e-6,0.020987198355268293,"Actg1",FALSE,"",1,5.690693561143426,34
"6","ENSMUSG00000026179","darkgreen","Pnkd","muscle",2.046883675093944e-6,0.001330315318372249,"Pnkd",FALSE,"",1,5.688906837699141,96
"190","ENSMUSG00000025076","darkgreen","Casp7","muscle",2.1063352245103246e-6,0.3712377777134999,"Casp7",FALSE,"",1,5.676472509423393,8
"93","ENSMUSG00000097296","darkgreen","Gm26532","muscle",2.591717174398122e-6,0.0771299509597746,"Gm26532",FALSE,"",1,5.5864123933492795,59
"20","ENSMUSG00000039157","darkgreen","Eeig1","muscle",2.9890905787455675e-6,3.8877708944249186e-4,"Eeig1",FALSE,"",1,5.524460924287135,41
"73","ENSMUSG00000062300","darkgreen","Nectin2","muscle",3.016209258047282e-6,0.007511721539361677,"Nectin2",FALSE,"",1,5.520538531349134,18
"155","ENSMUSG00000022463","darkgreen","Srebf2","muscle",3.026259173723212e-6,0.01135015740180909,"Srebf2",FALSE,"",1,5.519093881039238,17
"185","ENSMUSG00000024907","darkgreen","Gal","muscle",3.197861521075089e-6,0.05456691830022424,"Gal",FALSE,"",1,5.4951403466983155,152
"188","ENSMUSG00000025157","darkgreen","Zdhhc16","muscle",3.789041732702491e-6,0.002924305661067335,"Zdhhc16",FALSE,"",1,5.421470611356678,114
"58","ENSMUSG00000046562","darkgreen","Unc119b","muscle",4.060333621665876e-6,0.04655174494739381,"Unc119b",FALSE,"",1,5.391438280684913,115
"60","ENSMUSG00000036565","darkgreen","Ttyh3","muscle",4.530322761305206e-6,0.01755793505029714,"Ttyh3",FALSE,"",1,5.343870855722179,117
"43","ENSMUSG00000003032","darkgreen","Klf4","muscle",4.624149756833341e-6,0.00928151056224552,"Klf4",FALSE,"",1,5.334968109381392,94
"159","ENSMUSG00000023034","darkgreen","Nr4a1","muscle",4.7071979260029535e-6,0.002870115881867462,"Nr4a1",FALSE,"",1,5.327237540303191,73
"133","ENSMUSG00000093264","darkgreen",NA,"muscle",5.4068854683621024e-6,0.05310363817464494,"ENSMUSG00000093264",FALSE,"",1,5.267052829792815,14
"163","ENSMUSG00000022894","darkgreen","Adamts5","muscle",7.170465814899918e-6,0.0019651761580206824,"Adamts5",FALSE,"",1,5.144452630347619,156
"144","ENSMUSG00000034751","darkgreen","Mast4","muscle",7.536155190846495e-6,5.613406192099586e-5,"Mast4",FALSE,"",1,5.122850166765828,16
"167","ENSMUSG00000073423","darkgreen","Zfp414","muscle",8.650111264829342e-6,0.16283356246840333,"Zfp414",FALSE,"",1,5.062978306247251,89
"22","ENSMUSG00000075224","darkgreen","Lrrc55","muscle",9.557216515003905e-6,0.5834948195843032,"Lrrc55",FALSE,"",1,5.0196685751080885,27
"156","ENSMUSG00000016619","darkgreen","Nup50","muscle",1.0435072316316812e-5,3.346728346642183e-4,"Nup50",FALSE,"",1,4.981504536874663,155
"75","ENSMUSG00000008384","darkgreen","Sertad1","muscle",1.1226395932684647e-5,0.0077610086841250195,"Sertad1",FALSE,"",1,4.949759645142543,32
"110","ENSMUSG00000023259","darkgreen","Slc26a6","muscle",1.178152982558091e-5,0.07615604633825479,"Slc26a6",FALSE,"",1,4.9287983129724715,159
"103","ENSMUSG00000062257","darkgreen","Opcml","muscle",1.1956867979864045e-5,0.3575474502839573,"Opcml",FALSE,"",1,4.9223825659326215,111
"174","ENSMUSG00000038418","darkgreen","Egr1","muscle",1.3895111171949931e-5,0.33413292727041155,"Egr1",FALSE,"",1,4.857137974171154,63
"149","ENSMUSG00000061731","darkgreen","Ext1","muscle",1.4817669195411615e-5,0.12423434107084738,"Ext1",FALSE,"",1,4.829220105073314,49
"94","ENSMUSG00000053560","darkgreen","Ier2","muscle",1.863071300952252e-5,0.6783159962934704,"Ier2",FALSE,"",1,4.729770524052993,118
"30","ENSMUSG00000027716","darkgreen","Trpc3","muscle",1.8707788071037124e-5,1.9207158557727784e-4,"Trpc3",FALSE,"",1,4.727977558589301,72
"88","ENSMUSG00000041836","darkgreen","Ptpre","muscle",1.894368865480138e-5,0.30264745390461334,"Ptpre",FALSE,"",1,4.722535452658445,106
"141","ENSMUSG00000021365","darkgreen","Nedd9","muscle",1.905559556608129e-5,8.359574646242176e-5,"Nedd9",FALSE,"",1,4.719977473183039,126
"40","ENSMUSG00000052544","darkgreen","St6galnac3","muscle",2.0812426951187905e-5,6.719860960453406e-4,"St6galnac3",FALSE,"",1,4.681677273461998,162
"183","ENSMUSG00000045629","darkgreen","Sh3tc2","muscle",2.114174229366488e-5,0.6226434504658254,"Sh3tc2",FALSE,"",1,4.674859225290414,169
"39","ENSMUSG00000036960","darkgreen","Clca2","muscle",2.1806152294413575e-5,0.01712961192248159,"Clca2",FALSE,"",1,4.66142095912204,124
"176","ENSMUSG00000047910","darkgreen","Pcdhb16","muscle",2.247108274115499e-5,0.8314826102505886,"Pcdhb16",FALSE,"",1,4.64837600113761,99
"122","ENSMUSG00000040158","darkgreen","Tax1bp3","muscle",2.5055125414076615e-5,0.06245897268538357,"Tax1bp3",FALSE,"",1,4.601103419043831,133
"4","ENSMUSG00000066877","darkgreen","Nck2","muscle",2.6312812327308733e-5,2.4038306534622723e-4,"Nck2",FALSE,"",1,4.579832731809455,164
"26","ENSMUSG00000035877","darkgreen","Zhx3","muscle",3.004763768340808e-5,0.022486362748319597,"Zhx3",FALSE,"",1,4.522189666136735,7
"64","ENSMUSG00000041390","darkgreen","Mdfic","muscle",3.193624949447412e-5,0.629066307693173,"Mdfic",FALSE,"",1,4.495716087555482,144
"147","ENSMUSG00000033730","darkgreen","Egr3","muscle",3.259894069715347e-5,0.34685138751269756,"Egr3",FALSE,"",1,4.486796512105542,136
