ensembl_gene_id,module,gene_symbol,organ,MM.pval,deseq2_sum.pval
ENSMUSG00000000317,darkgreen,Bcl6b,muscle,3.22645054526139e-12,1.50759320994768e-09
ENSMUSG00000000489,darkgreen,Pdgfb,muscle,3.99469115320777e-11,0.00745045523467463
ENSMUSG00000000531,darkgreen,Tamalin,muscle,0.00022823687523041,0.560532145821165
ENSMUSG00000000805,orange,Car4,muscle,2.33754814917874e-08,2.65520069073226e-05
ENSMUSG00000000884,darkgreen,Gnb1l,muscle,0.00803866693884952,0.250069330497646
ENSMUSG00000001105,darkgreen,Ift20,muscle,9.92194184534155e-07,0.113611699977957
ENSMUSG00000001151,orange,Pcnt,muscle,1.37850455230306e-10,5.6100591586131e-06
ENSMUSG00000002108,orange,Nr1h3,muscle,6.82810460278003e-06,0.00446818922165636
ENSMUSG00000002831,orange,Plin4,muscle,4.664484619505e-10,1.67878974569144e-05
ENSMUSG00000002910,orange,Arrdc2,muscle,6.04517776288457e-09,0.00476695109471146
ENSMUSG00000003032,darkgreen,Klf4,muscle,4.62414975683334e-06,0.00928151056224552
ENSMUSG00000003037,darkgreen,Rab8a,muscle,0.000109500213104529,0.0206821345833522
ENSMUSG00000003348,darkgreen,Mob3a,muscle,1.53155899799927e-07,0.00924175232682472
ENSMUSG00000003526,orange,Prodh,muscle,3.0463670475651e-11,1.65221209274781e-09
ENSMUSG00000003545,darkgreen,Fosb,muscle,0.00218033371419103,0.192974434401908
ENSMUSG00000004328,orange,Hif3a,muscle,1.99302281099672e-11,1.91425507612367e-08
ENSMUSG00000004633,orange,Chn2,muscle,0.000190682971130633,0.0010832055272066
ENSMUSG00000004768,darkgreen,Rab23,muscle,0.000620876716159052,0.882972215183548
ENSMUSG00000005103,darkgreen,Wdr1,muscle,5.73102859378194e-07,1.39929432120727e-07
ENSMUSG00000005125,orange,Ndrg1,muscle,7.02669459496495e-07,0.00161605508292678
ENSMUSG00000005958,darkgreen,Ephb3,muscle,0.000618232302825852,0.24543572465874
ENSMUSG00000008167,darkgreen,Fbxw9,muscle,0.00928277206690509,0.507086548662356
ENSMUSG00000008384,darkgreen,Sertad1,muscle,1.12263959326846e-05,0.00776100868412502
ENSMUSG00000008813,orange,Tppp2,muscle,2.53832586110392e-06,0.0124886679672801
ENSMUSG00000009406,darkgreen,Elk1,muscle,5.3622383035256e-07,0.00132150415338232
ENSMUSG00000009585,orange,Apobec3,muscle,8.73169476675695e-08,0.00571818091081166
ENSMUSG00000009633,orange,G0s2,muscle,0.0011038717068419,0.000337387211650699
ENSMUSG00000010064,orange,Slc38a3,muscle,4.59598285746796e-09,1.27269107918011e-07
ENSMUSG00000010830,darkgreen,Kdelr3,muscle,1.34124576275517e-11,8.41828581581798e-05
ENSMUSG00000014329,darkgreen,Bicc1,muscle,0.000171609953780392,0.553257909714884
ENSMUSG00000016619,darkgreen,Nup50,muscle,1.04350723163168e-05,0.000334672834664218
ENSMUSG00000017167,orange,Cntnap1,muscle,6.53790364744911e-06,0.000525477202912992
ENSMUSG00000017615,darkgreen,Tnfaip1,muscle,9.14422137834022e-07,8.63767371202617e-06
ENSMUSG00000017670,darkgreen,Elmo2,muscle,0.000259757954622523,0.18751374241082
ENSMUSG00000018500,orange,Adora2b,muscle,2.02070481280658e-05,0.0180762062710455
ENSMUSG00000019235,darkgreen,Rps6kl1,muscle,0.0536668345087986,0.012298478968523
ENSMUSG00000019861,darkgreen,Gopc,muscle,0.000364446466909883,0.0293432573903722
ENSMUSG00000019917,darkgreen,Septin10,muscle,0.000906699716216412,0.0377746473577279
ENSMUSG00000019927,darkgreen,Ube2d1,muscle,0.000231576709342736,0.0084088146280825
ENSMUSG00000019966,orange,Kitl,muscle,2.30905003386224e-10,1.10180716129525e-07
ENSMUSG00000020262,orange,Adarb1,muscle,1.89924370600545e-06,0.0135850042511389
ENSMUSG00000020315,orange,Sptbn1,muscle,2.52975149332974e-09,0.000298822990215862
ENSMUSG00000020423,darkgreen,Btg2,muscle,0.0442949169123281,0.89351321704048
ENSMUSG00000020474,darkgreen,Polm,muscle,9.16273859059316e-05,0.237862876560471
ENSMUSG00000020641,orange,Rsad2,muscle,1.00342574580057e-09,6.63531716912128e-05
ENSMUSG00000020658,darkgreen,Efr3b,muscle,6.23300476700169e-09,2.93042002094206e-06
ENSMUSG00000020682,orange,Mmp28,muscle,3.34729181662816e-08,3.44766652352605e-06
ENSMUSG00000020743,darkgreen,Mif4gd,muscle,1.33668993006946e-07,0.00944447936775404
ENSMUSG00000020744,darkgreen,Slc25a19,muscle,2.30165481170118e-11,0.0213828712170102
ENSMUSG00000020834,darkgreen,Dhrs13,muscle,0.000162800228545477,0.00396974079267223
ENSMUSG00000020848,orange,Doc2b,muscle,1.11819626409507e-10,3.57416282457737e-11
ENSMUSG00000020889,darkgreen,Nr1d1,muscle,1.98380448577221e-08,1.74737549815983e-10
ENSMUSG00000021250,darkgreen,Fos,muscle,0.0100173682653802,0.927211574847075
ENSMUSG00000021256,darkgreen,Vash1,muscle,0.0496830369666406,0.0116054709517485
ENSMUSG00000021260,orange,Hhipl1,muscle,5.13551899734333e-06,0.00531693256135694
ENSMUSG00000021265,orange,Slc25a29,muscle,6.89390334679689e-11,3.02498560300124e-09
ENSMUSG00000021365,darkgreen,Nedd9,muscle,1.90555955660813e-05,8.35957464624218e-05
ENSMUSG00000021367,orange,Edn1,muscle,1.30288331384032e-08,0.00086129678214332
ENSMUSG00000021681,darkgreen,Aggf1,muscle,0.000713554933333134,0.0139203546300729
ENSMUSG00000021750,orange,Fam107a,muscle,1.05655459473377e-10,1.02019576445989e-06
ENSMUSG00000022070,darkgreen,Bora,muscle,0.0264578605888895,0.835788910504563
ENSMUSG00000022074,darkgreen,Tnfrsf10b,muscle,2.54395497858583e-07,4.01349066392196e-05
ENSMUSG00000022180,orange,Slc7a8,muscle,3.05351594530321e-06,6.46931285776609e-05
ENSMUSG00000022463,darkgreen,Srebf2,muscle,3.02625917372321e-06,0.0113501574018091
ENSMUSG00000022668,orange,Gtpbp8,muscle,1.48985163365689e-05,0.739621578682892
ENSMUSG00000022894,darkgreen,Adamts5,muscle,7.17046581489992e-06,0.00196517615802068
ENSMUSG00000023032,orange,Slc4a8,muscle,9.38525034699016e-07,0.000748563461867707
ENSMUSG00000023034,darkgreen,Nr4a1,muscle,4.70719792600295e-06,0.00287011588186746
ENSMUSG00000023206,orange,Il15ra,muscle,2.32615529361952e-14,5.15348648379766e-11
ENSMUSG00000023259,darkgreen,Slc26a6,muscle,1.17815298255809e-05,0.0761560463382548
ENSMUSG00000023964,darkgreen,Calcr,muscle,0.00294006751833236,0.388446011926273
ENSMUSG00000024012,darkgreen,Mtch1,muscle,0.00243789077535728,0.268738327096103
ENSMUSG00000024030,orange,Abcg1,muscle,1.94292876855642e-05,0.00467926290206972
ENSMUSG00000024066,orange,Xdh,muscle,3.01299251318887e-18,5.31884534201996e-12
ENSMUSG00000024085,orange,Man2a1,muscle,8.3911097466998e-08,1.56596143716155e-06
ENSMUSG00000024190,darkgreen,Dusp1,muscle,0.0256955316493034,0.995379889018332
ENSMUSG00000024210,orange,Ip6k3,muscle,3.43903451764137e-10,2.86276654289961e-09
ENSMUSG00000024247,darkgreen,Pkdcc,muscle,2.38936331211912e-12,4.83597236669008e-09
ENSMUSG00000024427,darkgreen,Spry4,muscle,1.19759950468297e-07,0.0302006069062257
ENSMUSG00000024440,darkgreen,Pcdh12,muscle,1.3662014559672e-08,0.108527096370642
ENSMUSG00000024481,orange,Lvrn,muscle,5.48037011554057e-09,0.000253977190145213
ENSMUSG00000024535,darkgreen,Snx24,muscle,3.19302462463751e-10,0.00104476140076282
ENSMUSG00000024743,orange,Syt7,muscle,0.000127844408681167,0.020177157870848
ENSMUSG00000024778,orange,Fas,muscle,2.56701663529165e-08,0.00012947901971652
ENSMUSG00000024907,darkgreen,Gal,muscle,3.19786152107509e-06,0.0545669183002242
ENSMUSG00000025076,darkgreen,Casp7,muscle,2.10633522451032e-06,0.3712377777135
ENSMUSG00000025157,darkgreen,Zdhhc16,muscle,3.78904173270249e-06,0.00292430566106733
ENSMUSG00000025265,darkgreen,Fgd1,muscle,2.78509297913784e-07,0.00265276070526304
ENSMUSG00000025316,orange,Banp,muscle,6.37830156411065e-05,0.000475059329686414
ENSMUSG00000025422,orange,Agap2,muscle,2.778338871592e-12,6.22977950584253e-08
ENSMUSG00000025723,orange,Nmb,muscle,1.60744804257583e-10,8.87900948455023e-10
ENSMUSG00000025747,darkgreen,Tyms,muscle,0.0118638300034414,0.370930415535805
ENSMUSG00000025812,darkgreen,Pard3,muscle,1.49787819586268e-06,9.32602448770894e-10
ENSMUSG00000025931,orange,Paqr8,muscle,0.000428050318483929,0.110448777277358
ENSMUSG00000026088,darkgreen,Mitd1,muscle,0.0101809984226463,0.899564320962687
ENSMUSG00000026121,orange,Sema4c,muscle,9.51023737663873e-07,4.12602106630231e-05
ENSMUSG00000026162,darkgreen,Nhej1,muscle,1.18551448968638e-06,0.277359833207639
ENSMUSG00000026179,darkgreen,Pnkd,muscle,2.04688367509394e-06,0.00133031531837225
ENSMUSG00000026240,darkgreen,Cops7b,muscle,9.58657716486672e-05,0.0502233449907779
ENSMUSG00000026398,darkgreen,Nr5a2,muscle,0.00104971062136025,0.997209311588577
ENSMUSG00000026473,orange,Glul,muscle,6.21967631500002e-15,1.5614298519337e-10
ENSMUSG00000026637,darkgreen,Traf5,muscle,0.0012391996990164,0.871333960299062
ENSMUSG00000026873,orange,Phf19,muscle,0.00802524648923112,0.00112095470836253
ENSMUSG00000026921,darkgreen,Egfl7,muscle,2.65556382079358e-07,0.217450094741742
ENSMUSG00000026991,orange,Pkp4,muscle,1.28199608137535e-13,1.25124536047469e-09
ENSMUSG00000026994,orange,Galnt3,muscle,7.51958631376808e-06,2.9634456308266e-06
ENSMUSG00000027074,orange,Slc43a3,muscle,1.6869085028263e-19,2.63011591930086e-08
ENSMUSG00000027489,darkgreen,Necab3,muscle,0.0135931809237286,0.46683902633177
ENSMUSG00000027524,darkgreen,Edn3,muscle,7.11687601776695e-05,0.00222689599729433
ENSMUSG00000027536,orange,Chmp4c,muscle,0.00361002608610698,0.0572484286267786
ENSMUSG00000027540,orange,Ptpn1,muscle,6.65484954453985e-05,0.0546693898495922
ENSMUSG00000027716,darkgreen,Trpc3,muscle,1.87077880710371e-05,0.000192071585577278
ENSMUSG00000027834,orange,Serpini1,muscle,3.05780671523802e-08,0.000231477479434032
ENSMUSG00000027845,orange,Dclre1b,muscle,3.11750496264589e-05,0.014206711440206
ENSMUSG00000027889,darkgreen,Ampd2,muscle,1.18499862648297e-08,9.24796534647414e-06
ENSMUSG00000028036,orange,Ptgfr,muscle,2.76362190435824e-06,1.96132365032747e-05
ENSMUSG00000028214,darkgreen,Gem,muscle,3.08982790895221e-07,0.0402200608543964
ENSMUSG00000028280,orange,Gabrr1,muscle,1.3297406127693e-05,0.10518516859892
ENSMUSG00000028444,orange,Cntfr,muscle,1.8477666864587e-08,2.01837028959775e-10
ENSMUSG00000028475,orange,Spaar,muscle,7.8086248699538e-08,0.000405589197785545
ENSMUSG00000028618,orange,Tmem59,muscle,3.85329382051621e-06,0.0059541530409318
ENSMUSG00000028680,darkgreen,Plk3,muscle,3.9227957381436e-10,0.00309031264381946
ENSMUSG00000028713,orange,Cyp4b1,muscle,2.96251585544321e-05,0.0454101768995538
ENSMUSG00000028882,darkgreen,Ppp1r8,muscle,0.0181081395927475,0.320931998710914
ENSMUSG00000028967,darkgreen,Errfi1,muscle,0.0168708809540663,0.235185491974483
ENSMUSG00000029161,darkgreen,Cgref1,muscle,0.0791868956495174,0.269322688806905
ENSMUSG00000029189,orange,Sel1l3,muscle,1.64194434535374e-05,5.99396497974436e-05
ENSMUSG00000029312,darkgreen,Klhl8,muscle,3.65838447000597e-14,1.90917952435783e-06
ENSMUSG00000029352,orange,Crybb3,muscle,0.00107690496880576,0.00301318763524449
ENSMUSG00000029380,darkgreen,Cxcl1,muscle,0.0100064716079276,0.352717892221893
ENSMUSG00000029455,orange,Aldh2,muscle,1.68506605817203e-10,2.89928369428205e-05
ENSMUSG00000029456,orange,Acad10,muscle,1.74510617159044e-10,8.2189034940361e-07
ENSMUSG00000029648,orange,Flt1,muscle,2.66208852478019e-09,0.00426993960506819
ENSMUSG00000030084,darkgreen,Plxna1,muscle,8.15151888206623e-08,0.0112408539698219
ENSMUSG00000030123,darkgreen,Plxnd1,muscle,9.23970377299789e-11,0.0192371762783187
ENSMUSG00000030207,darkgreen,Fam234b,muscle,0.00609265395043607,0.0526926631413675
ENSMUSG00000030256,darkgreen,Bhlhe41,muscle,1.13691605495091e-10,1.74423660306102e-05
ENSMUSG00000030259,orange,Rassf8,muscle,0.0118972944538299,0.573912184295669
ENSMUSG00000030272,darkgreen,Camk1,muscle,0.0455446549079646,0.844326653500076
ENSMUSG00000030287,orange,Itpr2,muscle,2.71313385606197e-08,0.000101034365724019
ENSMUSG00000030317,orange,Timp4,muscle,1.81447789803127e-08,0.000446069601604929
ENSMUSG00000030403,darkgreen,Vasp,muscle,2.43227425832272e-13,3.12612428282396e-08
ENSMUSG00000030493,darkgreen,Faap24,muscle,0.00342368239995976,0.170547568737158
ENSMUSG00000030516,orange,Tjp1,muscle,0.000123720072356612,0.0358029475352501
ENSMUSG00000030551,orange,Nr2f2,muscle,0.00149907160048778,6.8342505945209e-05
ENSMUSG00000030553,darkgreen,Pgpep1l,muscle,0.0102420912579779,0.597352129723884
ENSMUSG00000030711,orange,Sult1a1,muscle,1.69683412646857e-14,2.90415841328836e-07
ENSMUSG00000030768,darkgreen,Disp1,muscle,7.09631008247604e-08,0.23537055668026
ENSMUSG00000030878,darkgreen,Cdr2,muscle,3.88050881850257e-08,0.00014024104908807
ENSMUSG00000031149,darkgreen,Praf2,muscle,0.0028348775143867,0.497222441077355
ENSMUSG00000031442,orange,Mcf2l,muscle,5.8137524495666e-12,6.0895454601705e-06
ENSMUSG00000031483,darkgreen,Erlin2,muscle,9.91212627597496e-05,0.22598489726983
ENSMUSG00000031627,darkgreen,Irf2,muscle,0.000107250941930554,0.00215973309890761
ENSMUSG00000031792,darkgreen,Usb1,muscle,0.000929647813606263,0.177409704232846
ENSMUSG00000031949,orange,Adat1,muscle,4.89525999071342e-07,0.000414747415611234
ENSMUSG00000031980,darkgreen,Agt,muscle,0.000545755256953938,0.434305521917111
ENSMUSG00000032014,darkgreen,Oaf,muscle,3.40809804904742e-10,7.0690942961902e-05
ENSMUSG00000032086,darkgreen,Bace1,muscle,2.17300474022341e-07,1.69902400622867e-08
ENSMUSG00000032193,darkgreen,Ldlr,muscle,3.33662186361235e-10,0.000914658717428128
ENSMUSG00000032202,orange,Rab27a,muscle,4.0822682105298e-09,0.000200644289695391
ENSMUSG00000032220,darkgreen,Myo1e,muscle,1.53869124358209e-11,1.94512577325524e-07
ENSMUSG00000032609,darkgreen,Klhdc8b,muscle,0.0116882904664605,0.3878716257451
ENSMUSG00000032735,orange,Ablim3,muscle,4.45066751413003e-06,0.000272709731814795
ENSMUSG00000032766,darkgreen,Gng11,muscle,4.70049963100468e-11,6.67685014867364e-08
ENSMUSG00000032846,darkgreen,Zswim6,muscle,0.413259686531517,0.571902125998945
ENSMUSG00000032878,orange,Ccdc85a,muscle,6.76328910038562e-08,6.23655316467711e-06
ENSMUSG00000032946,orange,Rasgrp2,muscle,8.00000237485703e-05,0.00904995492631515
ENSMUSG00000033082,orange,Clec1a,muscle,0.000208406517651297,0.0401647754053731
ENSMUSG00000033460,darkgreen,Armcx1,muscle,0.000349292073609994,0.793527273696031
ENSMUSG00000033730,darkgreen,Egr3,muscle,3.25989406971535e-05,0.346851387512698
ENSMUSG00000033855,orange,Ston1,muscle,4.10009799426062e-06,0.022929183711893
ENSMUSG00000034006,darkgreen,Slc66a2,muscle,0.00322990662711688,0.00199737336974568
ENSMUSG00000034118,darkgreen,Tpst1,muscle,2.8297398409359e-08,0.0325796819808163
ENSMUSG00000034120,orange,Srsf2,muscle,1.46436597585377e-07,1.39357158886744e-07
ENSMUSG00000034403,darkgreen,Pja1,muscle,7.43825256516927e-09,1.70127146984978e-05
ENSMUSG00000034751,darkgreen,Mast4,muscle,7.5361551908465e-06,5.61340619209959e-05
ENSMUSG00000034810,orange,Scn7a,muscle,3.0300002723649e-06,6.2157288065528e-05
ENSMUSG00000035275,darkgreen,Raver2,muscle,0.0126140658714336,0.753174804401481
ENSMUSG00000035513,darkgreen,Ntng2,muscle,0.000510961803930946,0.345249509900992
ENSMUSG00000035877,darkgreen,Zhx3,muscle,3.00476376834081e-05,0.0224863627483196
